03-14;Afrodyzjusz,Afrodyzy,Afrodyzja,Bożeciecha,Ewa,Fawila,Jakub,Leon,Leona,Matylda,Michał,Piotr
03-15;Gościmir,Klemens,Krzysztof,Longin,Longina,Ludwika,Luiza,Placyd
03-16;Abraham,Artemia,Cyriak,Herbert,Hiacynt,Hilary,Izabela,Miłostryj,Natalis
03-17;Agrykola,Gerazym,Gertruda,Patrycjusz,Patryk,Regina,Witburga,Zbigniew,Zbygniew,Zbygniewa
03-18;Aleksander,Anzelm,Boguchwał,Celestyna,Cyryl,Edward,Marta,Narcyz,Niko,Salwator,Trofim
03-19;Bogdan,Józef,Marek,Markusław,Sybillina
03-20;Aleksander,Ambroży,Anatol,Archip,Bogusław,Cyriaka,Ermegarda,Irmegarda,Eufemia,Fotyna,Józefa,Klaudia,Klemens,Kutbert,Patrycjusz,Wincenty,Wolfram
03-21;Benedykt,Filemon,Justynian,Klemencja,Marzanna,Mikołaj,Teodul
03-22;August,Baldwin,Baldwina,Bazyli,Bazylisa,Bogusław,Godzisław,Katarzyna,Kazimierz,Paweł
03-23;Eberhard,Feliks,Katarzyna,Oktawian,Pelagia,Pelagiusz,Piotra,Wiktorian,Wiktoriana,Wiktorianna,Zbysław
03-24;Ademar,Aldmir,Oldmir,Bertrada,Dziersława,Dzierżysława,Gabriel,Marek,Markusław,Sewer,Sofroniusz,Szymon
03-25;Dula,Dyzma,Ireneusz,Jozafata,Lutomysł,Łucja,Maria,Mariola,Nikodem,Nikodema,Wieńczysław
03-26;Bazyli,Emanuel,Emanuela,Feliks,Larysa,Montan,Nikifor,Teodor,Tworzymir
03-27;Benedykt,Ernest,Jan,Lidia,Narzes
03-28;Aniela,Antoni,Jan,Joanna,Kastor,Krzesisław,Renata,Stefan
03-29;Cyryl,Czcirad,Eustachy,Marek,Markusław,Wiktoria,Wiktoryn
03-30;Amadeusz,Amadea,Amelia,Aniela,Częstobor,Dobromir,Jan,Kwiryn,Kwiryna,Leonard,Lutobor,Litobor,Mamertyn,Mamertyna,Piotr
03-31;Achacy,Achacjusz,Amos,Balbina,Beniamin,Dobromira,Gwidon,Joanna,Kornelia
04-01;Grażyna,Hugo,Hugon,Jakobina,Jakubina,Katarzyna,Teodora,Tolisław,Zbigniew
04-02;Franciszek,Laurencja,Miłobąd,Urban
04-03;Antoni,Cieszygor,Jakub,Pankracy,Ryszard,Sykstus
04-04;Ambroży,Benedykt,Izydor,Teodul,Zdzimir
04-05;Borzywoj,Irena,Wincenty
04-06;Adam,Celestyn,Celestyna,Diogenes,Ireneusz,Katarzyna,Piotra,Platonida,Świętobor,Wilhelm,Zachariasz,Zachary,Zefiryn,Zefiryna
04-07;Donat,Epifaniusz,Hegezyp,Herman,Niestanka,Przecław,Przedsław,Rufin
04-08;Apolinary,August,Cezary,Cezaryna,Dionizy,Herodion,January,Radosław,Sieciesława
04-09;Achacy,Achacjusz,Dobrosława,Heliodor,Maja,Marceli
04-10;Antoni,Apoloniusz,Daniel,Ezechiel,Grodzisław,Henryk,Makary,Małgorzata,Marek,Markusław,Michał,Pompejusz
04-11;Filip,Gemma,Herman,Hildebrand,Hildebranda,Jaromir,Leon,Leona
04-12;Andrzej,Jędrzej,Juliusz,Sabbas,Wiktor,Zenon
04-13;Długomił,Hermenegild,Hermenegilda,Ida,Jan,Justyn,Małgorzata,Marcin,Marcjusz,Przemysł,Przemysław
04-14;Ardalion,Julianna,Justyna,Krzysztof,Lawiniusz,Maria,Myślimir,Piotr,Trofim,Tyburcjusz,Tyburcy,Tyburcja,Walerian
04-15;Abel,Anastazja,Modest,Olimpia,Piotr,Potencjana,Potencjanna,Sylwester,Sylwestra,Tytus,Wiktoryn,Wszegniew
04-16;Benedykt,Bernadeta,Cecylian,Charyzjusz,Erwin,Julia,Lambert,Leonid,Patrycy,Urban
04-17;Anicet,Aniceta,Innocenty,Izydor,Izydora,Jakub,Józef,Klara,Radociech,Robert
04-18;Alicja,Apoloniusz,Barbara,Bogusław,Bogusława,Flawiusz,Gosława,Gościsław
04-19;Adolf,Adolfa,Cieszyrad,Irydion,Konrada,Leon,Leona,Leontyna,Pafnucy,Werner,Włodzimierz
04-20;Agnieszka,Berenika,Czasław,Jagna,Marcelina,Nawoj,Sekundyn,Sulpicjusz,Szymon,Teodor,Ursycyn
04-21;Addar,Anzelm,Apollina,Apollo(n),Bartosz,Drogomił,Feliks,Konrad,Żelisław
04-22;Agapita,Aital,Gajusz,Kajus,Gaja,Kaja,Leon,Leona,Leonid,Łukasz,Soter,Strzeżymir,Teodor,Wanesa,Wirginiusz
04-23;Adalbert,Gabriela,Gerard,Gerarda,Helena,Jerzy,Lena,Wojciech,Wojciecha
04-24;Aleksander,Aleksja,Aleksy,Egbert,Erwin,Fidelis,Grzegorz,Horacjusz,Horacy,Longin,Longina,Sabbas,Tyberiusz
04-25;Ewodiusz,Ewodia,Jarosław,Kaliksta,Kalista,Marek,Markusław,Piotr
04-26;Artemon,Klarencjusz,Klet,Marcelin,Marcelina,Maria,Mariusz,Marzena,Spycimir
04-27;Anastazy,Andrzej,Jędrzej,Bożebor,Felicja,Kanizjusz,Marcin,Piotr,Teofil,Zyta
04-28;Achacy,Achacjusz,Afrodyzjusz,Afrodyzy,Afrodyzja,Arystarch,Joanna,Marek,Markusław,Maria,Paweł,Piotr,Przybycześć,Waleria,Witalis
04-29;Angelina,Augustyn,Bogusław,Ermentruda,Hugo,Paulin,Piotr,Robert,Roberta,Ryta
04-30;Afrodyzjusz,Afrodyzy,Afrodyzja,Bartłomiej,Chwalisława,Eutropiusz,Jakub,Katarzyna,Lilla,Marian,Piotr,Rozamunda
05-01;Aniela,Floryna,Jakub,Jeremi,Jeremiasz,Józef,Lubomir,Tamara
05-02;Anatol,Atanazy,Borys,Walenty,Walter,Witomir,Zoe,Zygmunt,Zygmunta
05-03;Aleksander,Alodia,Antonina,Juwenalis,Leonia,Maria,Mariola,Piotr,Świętosława,Teodul,Wiola
05-04;Antonina,Florian,Grzegorz,January,Michał,Paulin
05-05;Irena,Penelopa,Pius,Stanisław,Teodor,Waldemar,Zdziebor
05-06;Benedykta,Domagniew,Edbert,Ewodiusz,Ewodia,Filip,Gościwit,Jan,Judyta,Jurand,Miłodrog,Placyd,Teodot
05-07;August,Benedykt,Domicela,Domicjan,Domicjana,Flawia,Florian,Gizela,Ludmiła,Ludomiła,Piotr,Róża,Sykstus,Wincenta
05-08;Achacy,Achacjusz,Amat,Dezyderia,Heladiusz,Ida,Michał,Stanisław
05-09;Beat,Grzegorz,Karolina,Mikołaj,Otokar,Piotr
05-10;Antonin,Chociesław,Częstomir,Gordian,Gordiana,Jan,Samuel,Sylwester,Sylwestra,Symeon,Wiktoryna
05-11;Adalbert,Benedykt,Berta,Filip,Franciszek,Iga,Ignacy,Lutogniew,Mamert,Mamerta,Stella,Tadeusz,Tadea,Zuzanna
